restaurant_name,restaurant_rating,restaurant_review_count,restaurant_price,restaurant_cuisine,restaurant_promotion,restaurant_booked_times,restaurant_remaining_timeslots,restaurant_special_offers
The Restaurant at Charlton House,4.4,(6),$$$$,• British • Shepton Mallet,Promoted,Booked 1 time today You're in luck! We still have 4 timeslots left,Booked 1 time today You're in luck! We still have 4 timeslots left,British Icons Set Menu
Pen Mill Hotel,4.8,(2056),$$$$,• British • Yeovil,Promoted,Booked 21 times today,Booked 21 times today,British Icons Set Menu
Villaggio Lakeside,4.7,(574),$$$$,• Italian • Cardiff,Promoted,Booked 16 times today,Booked 16 times today,British Icons Set Menu
El Camino,4.6,(6),$$$$,• Spanish • Cardiff,Promoted,Booked 2 times today,Booked 2 times today,British Icons Set Menu
Santiago's Tapas Cardiff,4.2,(835),$$$$,• Tapas / Small Plates • Cardiff,Promoted,Booked 9 times today,Booked 9 times today,British Icons Set Menu
Buckland Manor,4.4,(49),$$$$,• British • Broadway,Promoted,Booked 7 times today Top experience,Booked 7 times today Top experience,Afternoon Tea
Mulberry Tree,4.4,(859),$$$$,• British • Malvern,Promoted,Booked 3 times today,Booked 3 times today,British Icons Set Menu
Smith's of Bourton,4.7,(606),$$$$,• Burgers • Bourton-on-the-Water,Promoted,Booked 21 times today,Booked 21 times today,British Icons Set Menu
Revo Kitchen and Terrace,4.1,(394),$$$$,• Café • Weston-Super-Mare,Promoted,Booked 4 times today,Booked 4 times today,British Icons Set Menu
The Cat and Custard Pot,4.5,(969),$$$$,• British • Tetbury,Promoted,Booked 8 times today You're in luck! We still have 4 timeslots left,Booked 8 times today You're in luck! We still have 4 timeslots left,British Icons Set Menu
Yakitori1,4.8,(1035),$$$$,• Japanese • Cardiff,Promoted,Booked 10 times today,Booked 10 times today,British Icons Set Menu
The Slaughters Country Inn Restaurant & Bar,4.1,(99),$$$$,• Contemporary British • Upper Slaughter,Promoted,Booked 12 times today,Booked 12 times today,British Icons Set Menu
Maaya,3.600000000000001,(1),$$$$,• Indian • Bath,Promoted,Top experience,Top experience,Sharing menu for 2 - £49.95
The Fox at Barrington,4.5,(434),$$$$,• Pub • Burford,Promoted,Booked 17 times today,Booked 17 times today,British Icons Set Menu
Slug & Lettuce - Bath,3.600000000000001,(6),$$$$,• International • Bath,Promoted,Booked 1 time today,Booked 1 time today,British Icons Set Menu
Bill's Restaurant & Bar - Cardiff Bay,4.4,(1601),$$$$,• British • Cardiff,Promoted,Booked 40 times today,Booked 40 times today,British Icons Set Menu
Côte Brasserie - Cheltenham,4.6,(93),$$$$,• French • Cheltenham,Promoted,Booked 22 times today,Booked 22 times today,British Icons Set Menu
The White Horse Inn,4.2,(32),$$$$,• British • Wellington,Promoted,Booked 3 times today,Booked 3 times today,British Icons Set Menu
Bill's Restaurant & Bar - Gloucester Quays,4.4,(901),$$$$,• British • Gloucester,Promoted,Booked 13 times today,Booked 13 times today,British Icons Set Menu
Elote Tacos,4.3,(72),$$$$,• Mexican • Gloucester,Promoted,Booked 3 times today You're in luck! We still have 3 timeslots left,Booked 3 times today You're in luck! We still have 3 timeslots left,British Icons Set Menu
